3712, 18.559999465942383
0, 162.67625427246094
1, 162.68124389648438
2, 162.68624877929688
3, 162.69125366210938
4, 162.69625854492188
5, 162.7012481689453
6, 162.7062530517578
7, 162.7112579345703
8, 162.71624755859375
9, 162.72125244140625
10, 162.72625732421875
11, 162.7312469482422
12, 162.7362518310547
13, 162.7412567138672
14, 162.74624633789062
15, 162.75125122070312
16, 162.75625610351562
17, 162.76124572753906
18, 162.76625061035156
19, 162.77125549316406
20, 162.7762451171875
21, 162.78125
22, 162.7862548828125
23, 162.79124450683594
24, 162.79624938964844
25, 162.80125427246094
26, 162.80624389648438
27, 162.81124877929688
28, 162.81625366210938
29, 162.82125854492188
30, 162.8262481689453
31, 162.8312530517578
32, 162.8362579345703
33, 162.84124755859375
34, 162.84625244140625
35, 162.85125732421875
36, 162.8562469482422
37, 162.8612518310547
38, 162.8662567138672
39, 162.87124633789062
40, 162.87625122070312
41, 162.88125610351562
42, 162.88624572753906
43, 162.89125061035156
44, 162.89625549316406
45, 162.9012451171875
46, 162.90625
47, 162.9112548828125
48, 162.91624450683594
49, 162.92124938964844
50, 162.92625427246094
51, 162.93124389648438
52, 162.93624877929688
53, 162.94125366210938
54, 162.94625854492188
55, 162.9512481689453
56, 162.9562530517578
57, 162.9612579345703
58, 162.96624755859375
59, 162.97125244140625
60, 162.97625732421875
61, 162.9812469482422
62, 162.9862518310547
63, 162.9912567138672
64, 162.99624633789062
65, 163.00125122070312
66, 163.00625610351562
67, 163.01124572753906
68, 163.01625061035156
69, 163.02125549316406
70, 163.0262451171875
71, 163.03125
72, 163.0362548828125
73, 163.04124450683594
74, 163.04624938964844
75, 163.05125427246094
76, 163.05624389648438
77, 163.06124877929688
78, 163.06625366210938
79, 163.07125854492188
80, 163.0762481689453
81, 163.0812530517578
82, 163.0862579345703
83, 163.09124755859375
84, 163.09625244140625
85, 163.10125732421875
86, 163.1062469482422
87, 163.1112518310547
88, 163.1162567138672
89, 163.12124633789062
90, 163.12625122070312
91, 163.13125610351562
92, 163.13624572753906
93, 163.14125061035156
94, 163.14625549316406
95, 163.1512451171875
96, 163.15625
97, 163.1612548828125
